siff_sId,showName,country,holder,actor,showTime,cname,hname_cn
YC2216    ,奥兰多 (HDCAM),英国,莎莉·波特,蒂尔达·斯文顿，比利·赞恩，Quentin Crisp，John Bott,2014-06-21 20:45:00.000,上海影城,二厅
YC2206    ,华颐：吞噬怪物的孩子,韩国,张俊焕,金允石，吕珍九,2014-06-20 20:45:00.000,上海影城,二厅
YC2153    ,最后的执刑人,泰国,汤姆·沃勒,维他亚·潘斯林加姆，罗恩·斯穆安伯格,2014-06-15 13:30:00.000,上海影城,二厅
YC2204    ,战栗丛林,澳大利亚,亚伦·威尔逊,Khan Chittenden， 莫子仪,2014-06-20 15:45:00.000,上海影城,二厅
YC2217    ,黑金杀机,美国,雷德利·斯科特,迈克尔·斯宾德，  布拉德·皮特,2014-06-21 23:00:00.000,上海影城,二厅
YC2226    ,我的僵尸女友,英国,杰夫·巴埃纳,戴恩·德哈恩，奥布瑞·普拉扎,2014-06-22 20:45:00.000,上海影城,二厅
YC2203    ,非我族类,法国,卢卡斯·贝尔沃克斯,艾米莉·德奎恩，洛克·柯贝利，桑德拉·努卡,2014-06-20 13:30:00.000,上海影城,二厅
YC2186    ,古宅惊魂,美国,詹姆斯·温,朗·里维斯顿，莉莉·泰勒,2014-06-18 20:45:00.000,上海影城,二厅
YC1175    ,费城故事 4K,美国,乔纳森·戴米,汤姆·汉克斯，丹泽尔·华盛顿,2014-06-17 18:30:00.000,上海影城,一厅
YC1145    ,纵情一曲,法国,阿伦·雷乃,萨宾·阿泽玛，西波里特·吉拉多特,2014-06-14 18:30:00.000,上海影城,一厅
YC1226    ,现代启示录,美国,弗朗西斯·福特·科波拉,马龙·白兰度，马丁·辛,2014-06-22 20:45:00.000,上海影城,一厅
YC1222    ,42号传奇,美国,布莱恩·海尔格兰德,查德维克·博斯曼 ，哈里森·福特,2014-06-22 10:30:00.000,上海影城,一厅
YC1215    ,旗鼓相当,美国,彼得·西格尔,罗伯特·德·尼罗，西尔维斯特·史泰龙,2014-06-21 18:30:00.000,上海影城,一厅
YC1207    ,火速搭档,美国,安东尼·斯图兹,乔什·亨德森，海莉·韦伯，博·布里吉斯,2014-06-20 23:00:00.000,上海影城,一厅
YC1204    ,逆鳞,韩国,李才奎,玄彬，郑在咏,2014-06-20 15:45:00.000,上海影城,一厅
YC1196    ,教父 2 4K,美国,弗朗西斯·福特 科波拉,阿尔·帕西诺，罗伯特·德尼罗，罗伯特·杜瓦尔,2014-06-19 20:45:00.000,上海影城,一厅
YC1194    ,赦免,美国,汤姆·安东,洁米·金，杰森·刘易斯，M·C·盖尼,2014-06-19 15:45:00.000,上海影城,一厅
YC1164    ,恐怖直播,韩国,金秉祐,河正宇,2014-06-16 15:45:00.000,上海影城,一厅
YC1153    ,如父如子,日本,是枝裕和,福山雅治， 尾野真千子，真木阳子,2014-06-15 13:30:00.000,上海影城,一厅
YC1152    ,横道世之介,日本,冲田修一,高良健吾，吉高由里子，绫野刚,2014-06-15 10:30:00.000,上海影城,一厅
YC1147    ,达拉斯买家俱乐部,美国,让·马克·瓦雷,马修·麦康纳，杰瑞德·莱托,2014-06-14 23:00:00.000,上海影城,一厅
YC1146    ,冬日奇缘,美国,阿齐瓦·高斯曼, 柯林·法瑞尔 ，马修·波莫 ， 露西·格里菲思,2014-06-14 20:45:00.000,上海影城,一厅
YC1144    ,偷书贼,美国,布莱恩·派西维尔,杰弗里·拉什，艾米丽·沃森,2014-06-14 15:45:00.000,上海影城,一厅
